Codice;Regione;Zona;Nome;Comune;Latitudine;Longitudine;Esposizione;Lunghezza;Fondo;Affollamento;Accesso;Come si arriva;Parcheggio;Bandiera Blu;Servizi rilevati;Etichette;Descrizione;Google Place ID;File immagine;Fonte immagine;Comune notizie;Aff. ristorante;Aff. albergo;Aff. ombrellone;Aff. attività;Stato;Priorità;Note;Sponsor;Sponsor fino al
algarve-069;algarve;albufeira;Alemaes;Albufeira;37.084283;-8.239076;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1800 persone.;;spiagge/algarve/algarve-069.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-070;algarve;albufeira;Forte de Sao Joao;Albufeira;37.083343;-8.235786;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1000 persone.;;spiagge/algarve/algarve-070.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-071;algarve;albufeira;Aveiros;Albufeira;37.08353;-8.23114;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 100 persone.;;spiagge/algarve/algarve-071.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-072;algarve;albufeira;Oura;Albufeira;37.08589;-8.22614;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 550 persone.;;spiagge/algarve/algarve-072.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-073;algarve;albufeira;Oura - Leste;Albufeira;37.08512;-8.22265;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-073.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-074;algarve;albufeira;Santa Eulalia;Albufeira;37.08777;-8.21397;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 600 persone.;;spiagge/algarve/algarve-074.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-075;algarve;albufeira;Maria Luisa;Albufeira;37.08897;-8.20083;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-075.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-076;algarve;albufeira;Olhos de Agua;Albufeira;37.08956;-8.19033;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-076.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-077;algarve;albufeira;Belharucas;Albufeira;37.09062;-8.18341;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 1200 persone.;;spiagge/algarve/algarve-077.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-078;algarve;albufeira;Falesia Acoteias;Albufeira;37.08589;-8.16815;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-078.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-079;algarve;albufeira;Falesia Alfamar;Albufeira;37.08335;-8.15912;;;;;nc;;;sì;5;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Capacità di carico stimata in 800 persone.;;spiagge/algarve/algarve-079.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-080;algarve;albufeira;Poco Velho;Albufeira;37.08036;-8.14945;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 800 persone.;;spiagge/algarve/algarve-080.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-081;algarve;albufeira;Rocha Baixinha - Poente;Albufeira;37.0783;-8.14252;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1400 persone.;;spiagge/algarve/algarve-081.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-082;algarve;albufeira;Rocha Baixinha;Albufeira;37.07592;-8.13506;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1800 persone.;;spiagge/algarve/algarve-082.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-083;algarve;albufeira;Rocha Baixinha - Nascente;Albufeira;37.0745;-8.13062;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 3400 persone.;;spiagge/algarve/algarve-083.jpg;DGT OrtoSat · 30 cm;Albufeira;;;;;;;;;
algarve-084;algarve;vilamoura;Vilamoura;Loulé;37.07188;-8.11896;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 5000 persone.;;spiagge/algarve/algarve-084.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-085;algarve;vilamoura;Quarteira Poente;Loulé;37.0674;-8.1042;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3300 persone.;;spiagge/algarve/algarve-085.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-086;algarve;vilamoura;Quarteira Central;Loulé;37.0652;-8.0986;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Rientra nel programma Praia Acessível.;;spiagge/algarve/algarve-086.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-087;algarve;vilamoura;Quarteira Nascente;Loulé;37.0629;-8.0925;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3300 persone.;;spiagge/algarve/algarve-087.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-088;algarve;vilamoura;Forte Novo;Loulé;37.06203;-8.09016;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 1700 persone.;;spiagge/algarve/algarve-088.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-089;algarve;vilamoura;Almargem;Loulé;37.05838;-8.08353;;;;;nc;;;sì;5;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Capacità di carico stimata in 2600 persone.;;spiagge/algarve/algarve-089.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-090;algarve;vilamoura;Loule Velho;Loulé;37.05554;-8.07816;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1200 persone.;;spiagge/algarve/algarve-090.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-091;algarve;vilamoura;Vale do Lobo;Loulé;37.04759;-8.06476;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 1700 persone.;;spiagge/algarve/algarve-091.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-092;algarve;vilamoura;Garrao - Poente;Loulé;37.04328;-8.05713;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 2200 persone.;;spiagge/algarve/algarve-092.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-093;algarve;vilamoura;Garrao - Nascente;Loulé;37.03992;-8.05149;;;;;nc;;;sì;6;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Capacità di carico stimata in 2900 persone.;;spiagge/algarve/algarve-093.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-094;algarve;vilamoura;Ancao;Loulé;37.03215;-8.03852;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 4600 persone.;;spiagge/algarve/algarve-094.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-095;algarve;vilamoura;Quinta do Lago;Loulé;37.025;-8.0258;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3000 persone.;;spiagge/algarve/algarve-095.jpg;DGT OrtoSat · 30 cm;Loulé;;;;;;;;;
algarve-096;algarve;formosa;Faro - Mar Poente;Faro;37.0079;-7.9956;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 6300 persone.;;spiagge/algarve/algarve-096.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-097;algarve;formosa;Faro - Mar Central;Faro;37.0069;-7.9937;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf.;;spiagge/algarve/algarve-097.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-098;algarve;formosa;Faro - Mar Nascente;Faro;37.002;-7.9863;;;;;nc;;;sì;6;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 6300 persone.;;spiagge/algarve/algarve-098.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-099;algarve;formosa;Deserta (Barreta);Faro;36.964032;-7.872708;;;;;nc;;;sì;5;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Capacità di carico stimata in 3300 persone.;;spiagge/algarve/algarve-099.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-100;algarve;formosa;Ilha do Farol - Mar Poente;Faro;36.9745;-7.8636;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 1500 persone.;;spiagge/algarve/algarve-100.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-101;algarve;formosa;Ilha do Farol - Mar Nascente;Faro;36.976;-7.8614;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni.;;spiagge/algarve/algarve-101.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-102;algarve;formosa;Culatra - Mar;Faro;36.98545;-7.83904;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 4000 persone.;;spiagge/algarve/algarve-102.jpg;DGT OrtoSat · 30 cm;Faro;;;;;;;;;
algarve-103;algarve;formosa;Armona - Ria;Olhão;37.02336;-7.80635;;;;;nc;;;sì;5;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Capacità di carico stimata in 500 persone.;;spiagge/algarve/algarve-103.jpg;DGT OrtoSat · 30 cm;Olhão;;;;;;;;;
algarve-104;algarve;formosa;Cavacos;Olhão;37.036452;-7.795445;;;;;nc;;;no;1;;Spiaggia non sorvegliata. Ci sono parcheggio. Capacità di carico stimata in 200 persone.;;spiagge/algarve/algarve-104.jpg;DGT OrtoSat · 30 cm;Olhão;;;;;;;;;
algarve-105;algarve;formosa;Armona - Mar;Olhão;37.01399;-7.79384;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 5000 persone.;;spiagge/algarve/algarve-105.jpg;DGT OrtoSat · 30 cm;Olhão;;;;;;;;;
algarve-106;algarve;formosa;Fuseta - Mar;Olhão;37.04226;-7.74434;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 3200 persone.;;spiagge/algarve/algarve-106.jpg;DGT OrtoSat · 30 cm;Olhão;;;;;;;;;
algarve-107;algarve;formosa;Fuseta - Ria;Olhão;37.05074;-7.74213;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 600 persone.;;spiagge/algarve/algarve-107.jpg;DGT OrtoSat · 30 cm;Olhão;;;;;;;;;
algarve-108;algarve;tavira;Barril;Tavira;37.08582;-7.66145;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3300 persone.;;spiagge/algarve/algarve-108.jpg;DGT OrtoSat · 30 cm;Tavira;;;;;;;;;
algarve-109;algarve;tavira;Terra Estreita;Tavira;37.09767;-7.64062;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 3000 persone.;;spiagge/algarve/algarve-109.jpg;DGT OrtoSat · 30 cm;Tavira;;;;;;;;;
algarve-110;algarve;tavira;Ilha de Tavira - Mar;Tavira;37.10979;-7.61985;;;;;nc;;;sì;4;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni. Capacità di carico stimata in 4100 persone.;;spiagge/algarve/algarve-110.jpg;DGT OrtoSat · 30 cm;Tavira;;;;;;;;;
algarve-111;algarve;tavira;Cabanas Poente;Tavira;37.12817;-7.60019;;;;;nc;;;no;3;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Capacità di carico stimata in 1500 persone.;;spiagge/algarve/algarve-111.jpg;DGT OrtoSat · 30 cm;Tavira;;;;;;;;;
algarve-112;algarve;tavira;Cabanas - Mar;Tavira;37.13344;-7.58967;;;;;nc;;;sì;5;Bandiera Blu;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce. Capacità di carico stimata in 3600 persone.;;spiagge/algarve/algarve-112.jpg;DGT OrtoSat · 30 cm;Tavira;;;;;;;;;
algarve-113;algarve;guadiana;Fabrica - Mar;Vila Real de Santo António;37.149184;-7.551729;;;;;nc;;;no;3;;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Capacità di carico stimata in 1000 persone.;;spiagge/algarve/algarve-113.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-114;algarve;guadiana;Manta Rota;Vila Real de Santo António;37.16333;-7.5175;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 6300 persone.;;spiagge/algarve/algarve-114.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-115;algarve;guadiana;Lota;Vila Real de Santo António;37.16528;-7.51333;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3500 persone.;;spiagge/algarve/algarve-115.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-116;algarve;guadiana;Alagoa - Altura;Castro Marim;37.16906;-7.49756;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 6000 persone.;;spiagge/algarve/algarve-116.jpg;DGT OrtoSat · 30 cm;Castro Marim;;;;;;;;;
algarve-117;algarve;guadiana;Praia Verde;Castro Marim;37.17329;-7.47962;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3600 persone.;;spiagge/algarve/algarve-117.jpg;DGT OrtoSat · 30 cm;Castro Marim;;;;;;;;;
algarve-118;algarve;guadiana;Cabeco;Castro Marim;37.17479;-7.47198;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 4500 persone.;;spiagge/algarve/algarve-118.jpg;DGT OrtoSat · 30 cm;Castro Marim;;;;;;;;;
algarve-119;algarve;guadiana;Monte Gordo Poente;Vila Real de Santo António;37.176923;-7.454964;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 4000 persone.;;spiagge/algarve/algarve-119.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-120;algarve;guadiana;Monte Gordo;Vila Real de Santo António;37.176952;-7.451286;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 5400 persone.;;spiagge/algarve/algarve-120.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-121;algarve;guadiana;Monte Gordo Nascente;Vila Real de Santo António;37.176881;-7.447443;;;;;nc;;;sì;6;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 5400 persone.;;spiagge/algarve/algarve-121.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
algarve-122;algarve;guadiana;Santo Antonio;Vila Real de Santo António;37.17417;-7.42583;;;;;nc;;;sì;5;Bandiera Blu, Accessibile;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Rientra nel programma Praia Acessível. Capacità di carico stimata in 3000 persone.;;spiagge/algarve/algarve-122.jpg;DGT OrtoSat · 30 cm;Vila Real de Santo António;;;;;;;;;
